"idhod","hodnota","stapro_kod","pohlavi_cis","pohlavi_kod","vek_cis","vek_kod","vuzemi_cis","vuzemi_kod","casref_od","casref_do","stapro_txt","pohlavi_txt","vek_txt","vuzemi_txt"
"763510360","15.7305811318524","5411","102","1","7700","410065610066000","65","2108","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Hořovice"
"763510359","31.7685538336482","5411","102","1","7700","410045610046000","65","2108","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Hořovice"
"763510358","75.25601546414","5411","102","1","7700","400000600001000","65","2108","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Hořovice"
"763510361","80.9858939348445","5411","102","2","7700","400000600001000","65","2108","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Hořovice"
"763510365","31.6711397012237","5411","102","1","7700","410045610046000","65","2109","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Kladno"
"763510369","18.755906883203","5411","102","2","7700","410065610066000","65","2109","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Kladno"
"763510368","36.4882990735865","5411","102","2","7700","410045610046000","65","2109","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Kladno"
"763510366","15.6366679626289","5411","102","1","7700","410065610066000","65","2109","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Kladno"
"763510364","75.2569603656986","5411","102","1","7700","400000600001000","65","2109","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Kladno"
"763510367","80.7581162838453","5411","102","2","7700","400000600001000","65","2109","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Kladno"
"763510370","76.0378520340711","5411","102","1","7700","400000600001000","65","2110","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Kolín"
"763510373","81.3620639285092","5411","102","2","7700","400000600001000","65","2110","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Kolín"
"763510374","37.0790879197023","5411","102","2","7700","410045610046000","65","2110","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Kolín"
"763510371","32.5537924124147","5411","102","1","7700","410045610046000","65","2110","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Kolín"
"763510372","16.1863342704446","5411","102","1","7700","410065610066000","65","2110","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Kolín"
"763510375","19.2750605379389","5411","102","2","7700","410065610066000","65","2110","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Kolín"
"763510377","32.4641645709295","5411","102","1","7700","410045610046000","65","2111","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Kralupy nad Vltavou"
"763510379","81.4398205193801","5411","102","2","7700","400000600001000","65","2111","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Kralupy nad Vltavou"
"763510378","15.7263970827397","5411","102","1","7700","410065610066000","65","2111","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Kralupy nad Vltavou"
"763510381","19.367750612857","5411","102","2","7700","410065610066000","65","2111","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Kralupy nad Vltavou"
"763510380","37.4214606262821","5411","102","2","7700","410045610046000","65","2111","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Kralupy nad Vltavou"
