"idhod","hodnota","duvernost","stapro_kod","stapro_txt","kat_cis","kat_kod","uzemiz_cis","uzemiz_kod","rok","uzemi_cis","uzemi_kod","uzemi_txt"
"760701930","1904","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7201","Bystřice pod Hostýnem"
"761240794","194","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7202","Holešov"
"760878590","7419","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7203","Kroměříž"
"760694943","27200","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7204","Luhačovice"
"760701931","7789","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7205","Otrokovice"
"760717127","12699","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7206","Rožnov pod Radhoštěm"
"760664944","10068","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7207","Uherské Hradiště"
"760878591","2314","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7208","Uherský Brod"
"760664945","1420","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7209","Valašské Klobouky"
"761115641","1913","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7210","Valašské Meziříčí"
"760679200","1270","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7211","Vizovice"
"760701932","7226","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7212","Vsetín"
"760694944","15272","verejny","2654","Počet turistů","154","1","5898","17","2012","65","7213","Zlín"
"761130024","613","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8101","Bílovec"
"760993923","1356","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8102","Bohumín"
"760709997","4896","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8103","Bruntál"
"761361143","881","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8104","Český Těšín"
"761250862","4021","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8105","Frenštát pod Radhoštěm"
"760868636","13968","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8106","Frýdek-Místek"
"761239751","11483","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8107","Frýdlant nad Ostravicí"
"760664946","2124","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8108","Havířov"
"761096778","675","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8109","Hlučín"
"761008609","2706","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8110","Jablunkov"
"760979802","3080","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8111","Karviná"
"761363667","6010","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8112","Kopřivnice"
"760873607","","duverny","2654","Počet turistů","154","1","5898","17","2012","65","8113","Kravaře"
"761097673","2388","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8114","Krnov"
"761253691","8587","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8115","Nový Jičín"
"761130982","1254","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8116","Odry"
"760679201","8175","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8117","Opava"
"761368698","","duverny","2654","Počet turistů","154","1","5898","17","2012","65","8118","Orlová"
"760694998","68819","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8119","Ostrava"
"761253692","3148","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8120","Rýmařov"
"760709998","7483","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8121","Třinec"
"760873608","788","verejny","2654","Počet turistů","154","1","5898","17","2012","65","8122","Vítkov"
"761434686","1739534","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1101","Praha 1"
"761436201","528723","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1102","Praha 2"
"761431718","303346","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1103","Praha 3"
"761428825","345651","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1104","Praha 4"
"761433253","427343","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1105","Praha 5"
"761433049","322883","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1106","Praha 6"
"761431726","144332","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1107","Praha 7"
"761430334","409398","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1108","Praha 8"
"761437723","242771","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1109","Praha 9"
"761434688","179580","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1110","Praha 10"
"761437726","136284","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1111","Praha 11"
"761436073","22159","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1112","Praha 12"
"761433283","13225","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1113","Praha 13"
"761434600","28412","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1114","Praha 14"
"761436061","10386","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1115","Praha 15"
"761431777","7249","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1116","Praha 16"
"761439140","","duverny","2654","Počet turistů","154","1","5898","17","2012","72","1117","Praha 17"
"761430364","14622","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1118","Praha 18"
"761437626","5232","verejny","2654","Počet turistů","154","1","5898","17","2012","72","1119","Praha 19"
